a,b,lat1,long1,lat2,long2
28,34,33.7,73.01,38.61,68.8
25,23,19.75,96.1,4.15,73.47
23,31,4.14,73.46,24.59,46.72
41,43,21.01,105.8,#N/A,#N/A
41,30,21.01,105.8,25.23,51.51
28,32,33.7,73.01,1.3,103.87
4,32,26.19,50.5,1.3,103.87
21,31,33.8,35.52,24.59,46.72
13,39,-6.18,106.77,24.45,54.4
39,19,24.44,54.39,29.32,47.97
34,12,38.6,68.79,28.67,77.14
19,13,29.31,47.96,-6.17,106.78
24,30,48.03,106.95,25.23,51.51
23,36,4.14,73.46,-8.64,125.61
13,25,-6.18,106.77,19.76,96.11
3,15,40.41,49.95,31.24,34.79
37,6,39.91,32.79,27.49,89.55
39,18,24.44,54.39,51.18,71.35
10,11,35.17,33.33,41.69,44.81
31,9,24.58,46.71,39.93,116.34
24,43,48.03,106.95,#N/A,#N/A
12,20,28.66,77.13,42.8,74.59
14,37,33.37,44.37,39.92,32.8
28,40,33.7,73.01,41.25,69.31
19,25,29.31,47.96,19.76,96.11
16,23,35.68,139.68,4.15,73.47
5,42,23.8,90.44,15.41,44.2
41,19,21.01,105.8,29.32,47.97
24,3,48.03,106.95,40.42,49.96
31,13,24.58,46.71,-6.17,106.78
40,9,41.24,69.3,39.93,116.34
29,31,14.62,121,24.59,46.72
32,7,1.29,103.86,4.89,114.86
10,41,35.17,33.33,21.02,105.81
16,36,35.68,139.68,-8.64,125.61
35,9,13.72,100.58,39.93,116.34
20,20,42.79,74.58,42.8,74.59
25,19,19.75,96.1,29.32,47.97
34,20,38.6,68.79,42.8,74.59
17,19,31.9,35.98,29.32,47.97
30,20,25.22,51.5,42.8,74.59
26,38,27.72,85.32,37.93,58.42
1,24,34.49,69.17,48.04,106.96
24,3,48.03,106.95,40.42,49.96
33,26,6.9,79.91,27.73,85.33
11,2,41.68,44.8,40.19,44.48
32,27,1.29,103.86,23.51,58.58
16,20,35.68,139.68,42.8,74.59
41,1,21.01,105.8,34.5,69.18
41,28,21.01,105.8,33.71,73.02
33,5,6.9,79.91,23.81,90.45
33,42,6.9,79.91,15.41,44.2
4,27,26.19,50.5,23.51,58.58
41,17,21.01,105.8,31.91,35.99
10,33,35.17,33.33,6.91,79.92
7,42,4.88,114.85,15.41,44.2
32,29,1.29,103.86,14.63,121.01
23,18,4.14,73.46,51.18,71.35
34,42,38.6,68.79,15.41,44.2
10,8,35.17,33.33,11.57,104.91
18,5,51.17,71.34,23.81,90.45
41,3,21.01,105.8,40.42,49.96
27,32,23.5,58.57,1.3,103.87
7,9,4.88,114.85,39.93,116.34
25,40,19.75,96.1,41.25,69.31
15,37,31.23,34.78,39.92,32.8
21,28,33.8,35.52,33.71,73.02
34,26,38.6,68.79,27.73,85.33
3,40,40.41,49.95,41.25,69.31
30,18,25.22,51.5,51.18,71.35
25,33,19.75,96.1,6.91,79.92
9,31,39.92,116.33,24.59,46.72
6,35,27.48,89.54,13.73,100.59
33,17,6.9,79.91,31.91,35.99
30,18,25.22,51.5,51.18,71.35
27,4,23.5,58.57,26.2,50.51
6,12,27.48,89.54,28.67,77.14
8,8,11.56,104.9,11.57,104.91
25,33,19.75,96.1,6.91,79.92
26,21,27.72,85.32,33.81,35.53
37,3,39.91,32.79,40.42,49.96
31,1,24.58,46.71,34.5,69.18
16,43,35.68,139.68,#N/A,#N/A
38,35,37.92,58.41,13.73,100.59
36,37,-8.65,125.6,39.92,32.8
14,38,33.37,44.37,37.93,58.42
2,37,40.18,44.47,39.92,32.8
29,23,14.62,121,4.15,73.47
8,22,11.56,104.9,3.08,101.67
38,11,37.92,58.41,41.69,44.81
7,30,4.88,114.85,25.23,51.51
39,34,24.44,54.39,38.61,68.8
40,25,41.24,69.3,19.76,96.11
22,38,3.07,101.66,37.93,58.42
36,6,-8.65,125.6,27.49,89.55
36,26,-8.65,125.6,27.73,85.33
15,7,31.23,34.78,4.89,114.86
39,19,24.44,54.39,29.32,47.97
38,14,37.92,58.41,33.38,44.38
19,35,29.31,47.96,13.73,100.59
16,19,35.68,139.68,29.32,47.97
30,41,25.22,51.5,21.02,105.81
33,41,6.9,79.91,21.02,105.81
33,30,6.9,79.91,25.23,51.51
29,15,14.62,121,31.24,34.79
14,26,33.37,44.37,27.73,85.33
4,36,26.19,50.5,-8.64,125.61
3,26,40.41,49.95,27.73,85.33
8,6,11.56,104.9,27.49,89.55
35,23,13.72,100.58,4.15,73.47
37,15,39.91,32.79,31.24,34.79
9,30,39.92,116.33,25.23,51.51
18,27,51.17,71.34,23.51,58.58
26,12,27.72,85.32,28.67,77.14
40,11,41.24,69.3,41.69,44.81
3,9,40.41,49.95,39.93,116.34
39,10,24.44,54.39,35.18,33.34
35,31,13.72,100.58,24.59,46.72
17,42,31.9,35.98,15.41,44.2
36,15,-8.65,125.6,31.24,34.79
37,37,39.91,32.79,39.92,32.8
23,20,4.14,73.46,42.8,74.59
16,9,35.68,139.68,39.93,116.34
17,10,31.9,35.98,35.18,33.34
11,16,41.68,44.8,35.69,139.69
20,42,42.79,74.58,15.41,44.2
9,21,39.92,116.33,33.81,35.53
5,18,23.8,90.44,51.18,71.35
9,31,39.92,116.33,24.59,46.72
17,21,31.9,35.98,33.81,35.53
33,5,6.9,79.91,23.81,90.45
9,40,39.92,116.33,41.25,69.31
30,16,25.22,51.5,35.69,139.69
28,20,33.7,73.01,42.8,74.59
2,15,40.18,44.47,31.24,34.79
33,19,6.9,79.91,29.32,47.97
9,17,39.92,116.33,31.91,35.99
41,6,21.01,105.8,27.49,89.55
18,30,51.17,71.34,25.23,51.51
40,28,41.24,69.3,33.71,73.02
6,42,27.48,89.54,15.41,44.2
13,34,-6.18,106.77,38.61,68.8
4,37,26.19,50.5,39.92,32.8
29,7,14.62,121,4.89,114.86
22,3,3.07,101.66,40.42,49.96
16,13,35.68,139.68,-6.17,106.78
15,41,31.23,34.78,21.02,105.81
33,4,6.9,79.91,26.2,50.51
32,32,1.29,103.86,1.3,103.87
25,23,19.75,96.1,4.15,73.47
8,37,11.56,104.9,39.92,32.8
39,4,24.44,54.39,26.2,50.51
25,34,19.75,96.1,38.61,68.8
2,5,40.18,44.47,23.81,90.45
33,16,6.9,79.91,35.69,139.69
38,24,37.92,58.41,48.04,106.96
40,29,41.24,69.3,14.63,121.01
24,22,48.03,106.95,3.08,101.67
34,34,38.6,68.79,38.61,68.8
20,17,42.79,74.58,31.91,35.99
13,27,-6.18,106.77,23.51,58.58
20,22,42.79,74.58,3.08,101.67
16,18,35.68,139.68,51.18,71.35
27,33,23.5,58.57,6.91,79.92
42,21,15.4,44.19,33.81,35.53
3,41,40.41,49.95,21.02,105.81
24,43,48.03,106.95,#N/A,#N/A
14,13,33.37,44.37,-6.17,106.78
33,1,6.9,79.91,34.5,69.18
42,23,15.4,44.19,4.15,73.47
11,16,41.68,44.8,35.69,139.69
3,15,40.41,49.95,31.24,34.79
26,30,27.72,85.32,25.23,51.51
38,38,37.92,58.41,37.93,58.42
4,39,26.19,50.5,24.45,54.4
6,31,27.48,89.54,24.59,46.72
2,28,40.18,44.47,33.71,73.02
27,12,23.5,58.57,28.67,77.14
25,24,19.75,96.1,48.04,106.96
11,25,41.68,44.8,19.76,96.11
5,43,23.8,90.44,#N/A,#N/A
21,8,33.8,35.52,11.57,104.91
26,30,27.72,85.32,25.23,51.51
42,23,15.4,44.19,4.15,73.47
15,2,31.23,34.78,40.19,44.48
11,35,41.68,44.8,13.73,100.59
30,4,25.22,51.5,26.2,50.51
27,37,23.5,58.57,39.92,32.8
16,17,35.68,139.68,31.91,35.99
6,16,27.48,89.54,35.69,139.69
39,28,24.44,54.39,33.71,73.02
35,33,13.72,100.58,6.91,79.92
28,41,33.7,73.01,21.02,105.81
4,26,26.19,50.5,27.73,85.33
23,35,4.14,73.46,13.73,100.59
32,10,1.29,103.86,35.18,33.34
42,4,15.4,44.19,26.2,50.51
30,10,25.22,51.5,35.18,33.34
35,11,13.72,100.58,41.69,44.81
22,12,3.07,101.66,28.67,77.14
26,2,27.72,85.32,40.19,44.48
23,4,4.14,73.46,26.2,50.51
23,8,4.14,73.46,11.57,104.91
26,13,27.72,85.32,-6.17,106.78
18,12,51.17,71.34,28.67,77.14
24,1,48.03,106.95,34.5,69.18
15,7,31.23,34.78,4.89,114.86
33,7,6.9,79.91,4.89,114.86
8,16,11.56,104.9,35.69,139.69
15,33,31.23,34.78,6.91,79.92
25,14,19.75,96.1,33.38,44.38
7,40,4.88,114.85,41.25,69.31
16,8,35.68,139.68,11.57,104.91
37,12,39.91,32.79,28.67,77.14
20,26,42.79,74.58,27.73,85.33
29,15,14.62,121,31.24,34.79
15,30,31.23,34.78,25.23,51.51
40,8,41.24,69.3,11.57,104.91
38,36,37.92,58.41,-8.64,125.61
19,9,29.31,47.96,39.93,116.34
35,5,13.72,100.58,23.81,90.45
13,32,-6.18,106.77,1.3,103.87
12,6,28.66,77.13,27.49,89.55
1,22,34.49,69.17,3.08,101.67
31,26,24.58,46.71,27.73,85.33
11,21,41.68,44.8,33.81,35.53
11,16,41.68,44.8,35.69,139.69
38,27,37.92,58.41,23.51,58.58
35,41,13.72,100.58,21.02,105.81
27,27,23.5,58.57,23.51,58.58
29,5,14.62,121,23.81,90.45
1,28,34.49,69.17,33.71,73.02
21,26,33.8,35.52,27.73,85.33
2,36,40.18,44.47,-8.64,125.61
3,26,40.41,49.95,27.73,85.33
37,42,39.91,32.79,15.41,44.2
26,9,27.72,85.32,39.93,116.34
20,37,42.79,74.58,39.92,32.8
12,1,28.66,77.13,34.5,69.18
18,16,51.17,71.34,35.69,139.69
17,19,31.9,35.98,29.32,47.97
8,19,11.56,104.9,29.32,47.97
16,25,35.68,139.68,19.76,96.11
30,32,25.22,51.5,1.3,103.87
9,29,39.92,116.33,14.63,121.01
6,42,27.48,89.54,15.41,44.2
10,5,35.17,33.33,23.81,90.45
37,7,39.91,32.79,4.89,114.86
29,4,14.62,121,26.2,50.51
7,43,4.88,114.85,#N/A,#N/A
9,10,39.92,116.33,35.18,33.34
37,20,39.91,32.79,42.8,74.59
20,33,42.79,74.58,6.91,79.92
6,3,27.48,89.54,40.42,49.96
11,42,41.68,44.8,15.41,44.2
16,2,35.68,139.68,40.19,44.48
14,4,33.37,44.37,26.2,50.51
18,24,51.17,71.34,48.04,106.96
4,24,26.19,50.5,48.04,106.96
32,7,1.29,103.86,4.89,114.86
13,37,-6.18,106.77,39.92,32.8
40,12,41.24,69.3,28.67,77.14
2,10,40.18,44.47,35.18,33.34
25,8,19.75,96.1,11.57,104.91
31,37,24.58,46.71,39.92,32.8
35,26,13.72,100.58,27.73,85.33
32,2,1.29,103.86,40.19,44.48
31,26,24.58,46.71,27.73,85.33
30,41,25.22,51.5,21.02,105.81
27,43,23.5,58.57,#N/A,#N/A
12,6,28.66,77.13,27.49,89.55
35,35,13.72,100.58,13.73,100.59
39,13,24.44,54.39,-6.17,106.78
11,3,41.68,44.8,40.42,49.96
26,34,27.72,85.32,38.61,68.8
3,40,40.41,49.95,41.25,69.31
30,4,25.22,51.5,26.2,50.51
4,23,26.19,50.5,4.15,73.47
36,30,-8.65,125.6,25.23,51.51
27,6,23.5,58.57,27.49,89.55
39,43,24.44,54.39,#N/A,#N/A
17,29,31.9,35.98,14.63,121.01
22,35,3.07,101.66,13.73,100.59
31,12,24.58,46.71,28.67,77.14
11,23,41.68,44.8,4.15,73.47
15,15,31.23,34.78,31.24,34.79
19,22,29.31,47.96,3.08,101.67
36,6,-8.65,125.6,27.49,89.55
17,23,31.9,35.98,4.15,73.47
38,12,37.92,58.41,28.67,77.14
16,9,35.68,139.68,39.93,116.34
12,34,28.66,77.13,38.61,68.8
21,21,33.8,35.52,33.81,35.53
15,26,31.23,34.78,27.73,85.33
41,34,21.01,105.8,38.61,68.8
34,40,38.6,68.79,41.25,69.31
40,28,41.24,69.3,33.71,73.02
41,22,21.01,105.8,3.08,101.67
7,28,4.88,114.85,33.71,73.02
29,43,14.62,121,#N/A,#N/A
30,20,25.22,51.5,42.8,74.59
35,34,13.72,100.58,38.61,68.8
40,11,41.24,69.3,41.69,44.81
13,16,-6.18,106.77,35.69,139.69
38,16,37.92,58.41,35.69,139.69
40,36,41.24,69.3,-8.64,125.61
16,17,35.68,139.68,31.91,35.99
21,5,33.8,35.52,23.81,90.45
22,16,3.07,101.66,35.69,139.69
11,8,41.68,44.8,11.57,104.91
22,12,3.07,101.66,28.67,77.14
13,32,-6.18,106.77,1.3,103.87
7,39,4.88,114.85,24.45,54.4
16,37,35.68,139.68,39.92,32.8
11,18,41.68,44.8,51.18,71.35
32,27,1.29,103.86,23.51,58.58
27,43,23.5,58.57,#N/A,#N/A
19,3,29.31,47.96,40.42,49.96
31,25,24.58,46.71,19.76,96.11
12,30,28.66,77.13,25.23,51.51
8,35,11.56,104.9,13.73,100.59
42,25,15.4,44.19,19.76,96.11
27,29,23.5,58.57,14.63,121.01
38,19,37.92,58.41,29.32,47.97
8,32,11.56,104.9,1.3,103.87
41,2,21.01,105.8,40.19,44.48
34,5,38.6,68.79,23.81,90.45
40,13,41.24,69.3,-6.17,106.78
42,17,15.4,44.19,31.91,35.99
17,24,31.9,35.98,48.04,106.96
21,13,33.8,35.52,-6.17,106.78
30,29,25.22,51.5,14.63,121.01
14,35,33.37,44.37,13.73,100.59
38,32,37.92,58.41,1.3,103.87
23,7,4.14,73.46,4.89,114.86
36,12,-8.65,125.6,28.67,77.14
12,29,28.66,77.13,14.63,121.01
20,3,42.79,74.58,40.42,49.96
11,17,41.68,44.8,31.91,35.99
7,18,4.88,114.85,51.18,71.35
26,42,27.72,85.32,15.41,44.2
22,10,3.07,101.66,35.18,33.34
39,26,24.44,54.39,27.73,85.33
25,34,19.75,96.1,38.61,68.8
35,32,13.72,100.58,1.3,103.87
11,13,41.68,44.8,-6.17,106.78
41,26,21.01,105.8,27.73,85.33
24,35,48.03,106.95,13.73,100.59
24,33,48.03,106.95,6.91,79.92
19,26,29.31,47.96,27.73,85.33
34,16,38.6,68.79,35.69,139.69
26,9,27.72,85.32,39.93,116.34
23,29,4.14,73.46,14.63,121.01
25,15,19.75,96.1,31.24,34.79
27,15,23.5,58.57,31.24,34.79
22,36,3.07,101.66,-8.64,125.61
8,8,11.56,104.9,11.57,104.91
21,23,33.8,35.52,4.15,73.47
4,32,26.19,50.5,1.3,103.87
1,5,34.49,69.17,23.81,90.45
10,7,35.17,33.33,4.89,114.86
27,41,23.5,58.57,21.02,105.81
32,40,1.29,103.86,41.25,69.31
42,9,15.4,44.19,39.93,116.34
13,37,-6.18,106.77,39.92,32.8
37,31,39.91,32.79,24.59,46.72
36,15,-8.65,125.6,31.24,34.79
28,27,33.7,73.01,23.51,58.58
36,30,-8.65,125.6,25.23,51.51
3,37,40.41,49.95,39.92,32.8
4,37,26.19,50.5,39.92,32.8
36,31,-8.65,125.6,24.59,46.72
1,5,34.49,69.17,23.81,90.45
4,32,26.19,50.5,1.3,103.87
18,17,51.17,71.34,31.91,35.99
31,41,24.58,46.71,21.02,105.81
20,28,42.79,74.58,33.71,73.02
3,9,40.41,49.95,39.93,116.34
42,35,15.4,44.19,13.73,100.59
15,17,31.23,34.78,31.91,35.99
23,12,4.14,73.46,28.67,77.14
3,41,40.41,49.95,21.02,105.81
21,39,33.8,35.52,24.45,54.4
38,23,37.92,58.41,4.15,73.47
3,33,40.41,49.95,6.91,79.92
12,19,28.66,77.13,29.32,47.97
26,13,27.72,85.32,-6.17,106.78
27,17,23.5,58.57,31.91,35.99
11,34,41.68,44.8,38.61,68.8
21,32,33.8,35.52,1.3,103.87
9,29,39.92,116.33,14.63,121.01
32,37,1.29,103.86,39.92,32.8
37,7,39.91,32.79,4.89,114.86
18,33,51.17,71.34,6.91,79.92
36,31,-8.65,125.6,24.59,46.72
39,35,24.44,54.39,13.73,100.59
25,16,19.75,96.1,35.69,139.69
7,25,4.88,114.85,19.76,96.11
31,6,24.58,46.71,27.49,89.55
31,43,24.58,46.71,#N/A,#N/A
9,31,39.92,116.33,24.59,46.72
19,27,29.31,47.96,23.51,58.58
20,35,42.79,74.58,13.73,100.59
30,37,25.22,51.5,39.92,32.8
24,35,48.03,106.95,13.73,100.59
30,25,25.22,51.5,19.76,96.11
21,32,33.8,35.52,1.3,103.87
9,32,39.92,116.33,1.3,103.87
15,37,31.23,34.78,39.92,32.8
29,9,14.62,121,39.93,116.34
25,27,19.75,96.1,23.51,58.58
5,41,23.8,90.44,21.02,105.81
5,39,23.8,90.44,24.45,54.4
35,17,13.72,100.58,31.91,35.99
9,36,39.92,116.33,-8.64,125.61
40,41,41.24,69.3,21.02,105.81
41,8,21.01,105.8,11.57,104.91
34,34,38.6,68.79,38.61,68.8
10,19,35.17,33.33,29.32,47.97
29,10,14.62,121,35.18,33.34
26,14,27.72,85.32,33.38,44.38
18,29,51.17,71.34,14.63,121.01
14,12,33.37,44.37,28.67,77.14
6,1,27.48,89.54,34.5,69.18
36,7,-8.65,125.6,4.89,114.86
39,36,24.44,54.39,-8.64,125.61
23,37,4.14,73.46,39.92,32.8
22,8,3.07,101.66,11.57,104.91
23,32,4.14,73.46,1.3,103.87
36,39,-8.65,125.6,24.45,54.4
23,8,4.14,73.46,11.57,104.91
15,1,31.23,34.78,34.5,69.18
32,29,1.29,103.86,14.63,121.01
33,4,6.9,79.91,26.2,50.51
38,42,37.92,58.41,15.41,44.2
39,24,24.44,54.39,48.04,106.96
35,19,13.72,100.58,29.32,47.97
13,2,-6.18,106.77,40.19,44.48
24,40,48.03,106.95,41.25,69.31
30,38,25.22,51.5,37.93,58.42
10,9,35.17,33.33,39.93,116.34
16,22,35.68,139.68,3.08,101.67
1,3,34.49,69.17,40.42,49.96
8,25,11.56,104.9,19.76,96.11
34,32,38.6,68.79,1.3,103.87
3,17,40.41,49.95,31.91,35.99
31,19,24.58,46.71,29.32,47.97
25,36,19.75,96.1,-8.64,125.61
39,16,24.44,54.39,35.69,139.69
10,4,35.17,33.33,26.2,50.51
18,18,51.17,71.34,51.18,71.35
24,42,48.03,106.95,15.41,44.2
25,13,19.75,96.1,-6.17,106.78
39,19,24.44,54.39,29.32,47.97
26,6,27.72,85.32,27.49,89.55
10,16,35.17,33.33,35.69,139.69
18,38,51.17,71.34,37.93,58.42
25,32,19.75,96.1,1.3,103.87
35,4,13.72,100.58,26.2,50.51
9,28,39.92,116.33,33.71,73.02
18,42,51.17,71.34,15.41,44.2
22,38,3.07,101.66,37.93,58.42
3,24,40.41,49.95,48.04,106.96
38,39,37.92,58.41,24.45,54.4
18,5,51.17,71.34,23.81,90.45
6,19,27.48,89.54,29.32,47.97
16,13,35.68,139.68,-6.17,106.78
16,40,35.68,139.68,41.25,69.31
42,12,15.4,44.19,28.67,77.14
18,40,51.17,71.34,41.25,69.31
10,27,35.17,33.33,23.51,58.58
27,33,23.5,58.57,6.91,79.92
30,14,25.22,51.5,33.38,44.38
20,23,42.79,74.58,4.15,73.47
12,33,28.66,77.13,6.91,79.92
3,26,40.41,49.95,27.73,85.33
30,38,25.22,51.5,37.93,58.42
16,20,35.68,139.68,42.8,74.59
25,2,19.75,96.1,40.19,44.48
