"fixed acidity;""volatile acidity"";""citric acid"";""residual sugar"";""chlorides"";""free sulfur dioxide"";""total sulfur dioxide"";""density"";""pH"";""sulphates"";""alcohol"";""quality""",,
6.9;0.25;0.35;1.3;0.039;29;191;0.9908;3.13;0.52;11;6,0.571369952,2117
7.2;0.21;0.34;11.9;0.043;37;213;0.9962;3.09;0.5;9.6;6,0.268073398,3590
6;0.19;0.26;12.4;0.048;50;147;0.9972;3.3;0.36;8.9;6,0.997374251,19
6.6;0.38;0.15;4.6;0.044;25;78;0.9931;3.11;0.38;10.2;6,0.622482832,1840
7.4;0.2;0.36;1.2;0.038;44;111;0.9926;3.36;0.34;9.9;6,0.819866696,840
6.8;0.22;0.24;4.9;0.092;30;123;0.9951;3.03;0.46;8.6;6,0.416664189,2871
6;0.19;0.26;12.4;0.048;50;147;0.9972;3.3;0.36;8.9;6,0.253025315,3664
7;0.47;0.07;1.1;0.035;17;151;0.991;3.02;0.34;10.5;5,0.928828899,332
6.6;0.38;0.15;4.6;0.044;25;78;0.9931;3.11;0.38;10.2;6,0.933079973,307
7.2;0.24;0.27;1.4;0.038;31;122;0.9927;3.15;0.46;10.3;6,0.732538866,1282
6.2;0.35;0.03;1.2;0.064;29;120;0.9934;3.22;0.54;9.1;5,0.748140041,1191
6.4;0.26;0.24;6.4;0.04;27;124;0.9903;3.22;0.49;12.6;7,0.904147305,443
6.7;0.25;0.13;1.2;0.041;81;174;0.992;3.14;0.42;9.8;5,0.173798434,4056
6.7;0.23;0.31;2.1;0.046;30;96;0.9926;3.33;0.64;10.7;8,0.121047336,4292
7.4;0.24;0.29;10.1;0.05;21;105;0.9962;3.13;0.35;9.5;5,0.193922772,3945
6.2;0.27;0.43;7.8;0.056;48;244;0.9956;3.1;0.51;9;6,0.401856018,2937
6.8;0.3;0.23;4.6;0.061;50.5;238.5;0.9958;3.32;0.6;9.5;5,0.608826375,1915
6;0.27;0.28;4.8;0.063;31;201;0.9964;3.69;0.71;10;5,0.594150867,1993
8.6;0.23;0.46;1;0.054;9;72;0.9941;2.95;0.49;9.1;6,0.639415029,1757
6.7;0.23;0.31;2.1;0.046;30;96;0.9926;3.33;0.64;10.7;8,0.67748438,1568
7.4;0.24;0.29;10.1;0.05;21;105;0.9962;3.13;0.35;9.5;5,0.587135319,2029
7.1;0.18;0.36;1.4;0.043;31;87;0.9898;3.26;0.37;12.7;7,0.365129537,3112
7;0.32;0.34;1.3;0.042;20;69;0.9912;3.31;0.65;12;7,0.707807727,1414
7.4;0.18;0.3;8.8;0.064;26;103;0.9961;2.94;0.56;9.3;5,0.702059681,1448
6.7;0.54;0.28;5.4;0.06;21;105;0.9949;3.27;0.37;9;5,0.289171847,3491
6.8;0.22;0.31;1.4;0.053;34;114;0.9929;3.39;0.77;10.6;6,0.254536787,3657
7.1;0.2;0.34;16;0.05;51;166;0.9985;3.21;0.6;9.2;6,0.61034613,1906
7.1;0.34;0.2;6.1;0.063;47;164;0.9946;3.17;0.42;10;5,0.577721436,2077
7.3;0.22;0.3;8.2;0.047;42;207;0.9966;3.33;0.46;9.5;6,0.705431053,1423
7.1;0.43;0.61;11.8;0.045;54;155;0.9974;3.11;0.45;8.7;5,0.61140307,1898
7.1;0.44;0.62;11.8;0.044;52;152;0.9975;3.12;0.46;8.7;6,0.289256576,3490
7.2;0.39;0.63;11;0.044;55;156;0.9974;3.09;0.44;8.7;6,0.049707422,4656
6.8;0.25;0.31;13.3;0.05;69;202;0.9972;3.22;0.48;9.7;6,0.663248659,1634
7.1;0.43;0.61;11.8;0.045;54;155;0.9974;3.11;0.45;8.7;5,0.854859526,684
7.1;0.44;0.62;11.8;0.044;52;152;0.9975;3.12;0.46;8.7;6,0.734445914,1269
7.2;0.39;0.63;11;0.044;55;156;0.9974;3.09;0.44;8.7;6,0.812040012,893
6.1;0.27;0.43;7.5;0.049;65;243;0.9957;3.12;0.47;9;5,0.476838955,2595
6.9;0.24;0.33;1.7;0.035;47;136;0.99;3.26;0.4;12.6;7,0.450323652,2701
6.9;0.21;0.33;1.8;0.034;48;136;0.9899;3.25;0.41;12.6;7,0.761451092,1116
7.5;0.17;0.32;1.7;0.04;51;148;0.9916;3.21;0.44;11.5;7,0.732179947,1283
7.1;0.26;0.29;12.4;0.044;62;240;0.9969;3.04;0.42;9.2;6,0.179936939,4022
6;0.34;0.66;15.9;0.046;26;164;0.9979;3.14;0.5;8.8;6,0.990032021,53
8.6;0.265;0.36;1.2;0.034;15;80;0.9913;2.95;0.36;11.4;7,0.246163955,3700
9.8;0.36;0.46;10.5;0.038;4;83;0.9956;2.89;0.3;10.1;4,0.575853703,2092
6;0.34;0.66;15.9;0.046;26;164;0.9979;3.14;0.5;8.8;6,0.569739718,2125
7.4;0.25;0.37;13.5;0.06;52;192;0.9975;3;0.44;9.1;5,0.565893438,2148
7.1;0.12;0.32;9.6;0.054;64;162;0.9962;3.4;0.41;9.4;5,0.470955284,2622
6;0.21;0.24;12.1;0.05;55;164;0.997;3.34;0.39;9.4;5,0.78929525,991
7.5;0.305;0.4;18.9;0.059;44;170;1;2.99;0.46;9;5,0.612944598,1893
7.4;0.25;0.37;13.5;0.06;52;192;0.9975;3;0.44;9.1;5,0.389729687,2996
7.3;0.13;0.32;14.4;0.051;34;109;0.9974;3.2;0.35;9.2;6,0.038558037,4713
7.1;0.12;0.32;9.6;0.054;64;162;0.9962;3.4;0.41;9.4;5,0.866090349,635
7.1;0.23;0.35;16.5;0.04;60;171;0.999;3.16;0.59;9.1;6,0.450936563,2698
7.1;0.23;0.35;16.5;0.04;60;171;0.999;3.16;0.59;9.1;6,0.122137756,4288
6.9;0.33;0.28;1.3;0.051;37;187;0.9927;3.27;0.6;10.3;5,0.881050274,559
6.5;0.17;0.54;8.5;0.082;64;163;0.9959;2.89;0.39;8.8;6,0.105690027,4374
7.2;0.27;0.46;18.75;0.052;45;255;1;3.04;0.52;8.9;5,0.135980937,4222
7.2;0.31;0.5;13.3;0.056;68;195;0.9982;3.01;0.47;9.2;5,0.55559682,2201
6.7;0.41;0.34;9.2;0.049;29;150;0.9968;3.22;0.51;9.1;5,0.928742844,333
6.7;0.41;0.34;9.2;0.049;29;150;0.9968;3.22;0.51;9.1;5,0.78263716,1024
5.5;0.485;0;1.5;0.065;8;103;0.994;3.63;0.4;9.7;4,0.646960564,1711
6;0.31;0.24;3.3;0.041;25;143;0.9914;3.31;0.44;11.3;6,0.119080255,4300
7;0.14;0.4;1.7;0.035;16;85;0.9911;3.19;0.42;11.8;6,0.429110337,2806
7.2;0.31;0.5;13.3;0.056;68;195;0.9982;3.01;0.47;9.2;5,0.244422493,3707
7.3;0.32;0.48;13.3;0.06;57;196;0.9982;3.04;0.5;9.2;5,0.099868579,4404
5.9;0.36;0.04;5.7;0.046;21;87;0.9934;3.22;0.51;10.2;5,0.372971877,3079
7.8;0.24;0.32;12.2;0.054;42;138;0.9984;3.01;0.54;8.8;5,0.009555456,4853
7.4;0.16;0.31;6.85;0.059;31;131;0.9952;3.29;0.34;9.7;5,0.697299142,1476
6.9;0.19;0.28;5;0.058;14;146;0.9952;3.29;0.36;9.1;6,0.180128068,4021
6.4;0.13;0.47;1.6;0.092;40;158;0.9928;3.21;0.36;9.8;6,0.097659126,4415
6.7;0.19;0.36;1.1;0.026;63;143;0.9912;3.27;0.48;11;6,0.783999843,1017
7.4;0.39;0.23;7;0.033;29;126;0.994;3.14;0.42;10.5;5,0.071455493,4525
6.5;0.24;0.32;7.6;0.038;48;203;0.9958;3.45;0.54;9.7;7,0.245102815,3705
6.1;0.3;0.56;2.8;0.044;47;179;0.9924;3.3;0.57;10.9;7,0.190430308,3970
6.1;0.3;0.56;2.7;0.046;46;184;0.9924;3.31;0.57;10.9;6,0.929610675,323
5.7;0.26;0.25;10.4;0.02;7;57;0.994;3.39;0.37;10.6;5,0.818600007,854
6.5;0.24;0.32;7.6;0.038;48;203;0.9958;3.45;0.54;9.7;7,0.05838365,4600
6.5;0.425;0.4;13.1;0.038;59;241;0.9979;3.23;0.57;9;5,0.832476575,773
6.6;0.24;0.27;15.8;0.035;46;188;0.9982;3.24;0.51;9.2;5,0.883045182,550
6.8;0.27;0.22;8.1;0.034;55;203;0.9961;3.19;0.52;8.9;5,0.597014915,1982
6.7;0.27;0.31;15.7;0.036;44;179;0.9979;3.26;0.56;9.6;5,0.383881648,3029
8.2;0.23;0.4;1.2;0.027;36;121;0.992;3.12;0.38;10.7;6,0.532551983,2320
7.1;0.37;0.67;10.5;0.045;49;155;0.9975;3.16;0.44;8.7;5,0.944427901,266
6.8;0.19;0.36;1.9;0.035;30;96;0.9917;3.15;0.54;10.8;7,0.081728299,4479
8.1;0.28;0.39;1.9;0.029;18;79;0.9923;3.23;0.52;11.8;6,0.784858354,1014
6.3;0.31;0.34;2.2;0.045;20;77;0.9927;3.3;0.43;10.2;5,0.760923423,1121
7.1;0.37;0.67;10.5;0.045;49;155;0.9975;3.16;0.44;8.7;5,0.18052708,4017
7.9;0.21;0.4;1.2;0.039;38;107;0.992;3.21;0.54;10.8;6,0.504427019,2465
8.5;0.21;0.41;4.3;0.036;24;99;0.9947;3.18;0.53;9.7;6,0.387417336,3008
8.1;0.2;0.4;2;0.037;19;87;0.9921;3.12;0.54;11.2;6,0.208847675,3877
6.3;0.255;0.37;1.1;0.04;37;114;0.9905;3;0.39;10.9;6,0.640804159,1743
5.6;0.16;0.27;1.4;0.044;53;168;0.9918;3.28;0.37;10.1;6,0.64794096,1703
6.4;0.595;0.14;5.2;0.058;15;97;0.9951;3.38;0.36;9;4,0.358080983,3145
6.3;0.34;0.33;4.6;0.034;19;80;0.9917;3.38;0.58;12;7,0.588880136,2019
6.9;0.25;0.3;4.1;0.054;23;116;0.994;2.99;0.38;9.4;6,0.898965201,463
7.9;0.22;0.38;8;0.043;46;152;0.9934;3.12;0.32;11.5;7,0.259318611,3638
7.6;0.18;0.46;10.2;0.055;58;135;0.9968;3.14;0.43;9.9;6,0.532763712,2317
6.9;0.25;0.3;4.1;0.054;23;116;0.994;2.99;0.38;9.4;6,0.815905639,868
7.2;0.18;0.41;1.2;0.048;41;97;0.9919;3.14;0.45;10.4;5,0.326850381,3301
8.2;0.23;0.4;7.5;0.049;12;76;0.9966;3.06;0.84;9.7;6,0.518694457,2401
7.4;0.24;0.42;14;0.066;48;198;0.9979;2.89;0.42;8.9;6,0.957440327,197
7.4;0.24;0.42;14;0.066;48;198;0.9979;2.89;0.42;8.9;6,0.022471906,4785
6.1;0.32;0.24;1.5;0.036;38;124;0.9898;3.29;0.42;12.4;7,0.220315215,3830
5.2;0.44;0.04;1.4;0.036;43;119;0.9894;3.36;0.33;12.1;8,0.313476006,3366
5.2;0.44;0.04;1.4;0.036;43;119;0.9894;3.36;0.33;12.1;8,0.893516283,498
6.1;0.32;0.24;1.5;0.036;38;124;0.9898;3.29;0.42;12.4;7,0.394025022,2978
6.4;0.22;0.56;14.5;0.055;27;159;0.998;2.98;0.4;9.1;5,0.023741023,4775
6.3;0.36;0.3;4.8;0.049;14;85;0.9932;3.28;0.39;10.6;5,0.047890757,4666
7.4;0.24;0.42;14;0.066;48;198;0.9979;2.89;0.42;8.9;6,0.192856022,3951
6.7;0.24;0.35;13.1;0.05;64;205;0.997;3.15;0.5;9.5;5,0.121904845,4289
7;0.23;0.36;13;0.051;72;177;0.9972;3.16;0.49;9.8;5,0.46625913,2640
8.4;0.27;0.46;8.7;0.048;39;197;0.9974;3.14;0.59;9.6;6,0.628993887,1812
6.7;0.46;0.18;2.4;0.034;25;98;0.9896;3.08;0.44;12.6;7,0.153887907,4142
7.5;0.29;0.31;8.95;0.055;20;151;0.9968;3.08;0.54;9.3;5,0.31328992,3368
9.8;0.42;0.48;9.85;0.034;5;110;0.9958;2.87;0.29;10;5,0.673244081,1595
7.1;0.3;0.46;1.5;0.066;29;133;0.9906;3.12;0.54;12.7;6,0.753812732,1168
7.9;0.19;0.45;1.5;0.045;17;96;0.9917;3.13;0.39;11;6,0.913260587,404
7.6;0.48;0.37;0.8;0.037;4;100;0.9902;3.03;0.39;11.4;4,0.659973668,1647
6.3;0.22;0.43;4.55;0.038;31;130;0.9918;3.35;0.33;11.5;7,0.4830346,2563
7.5;0.27;0.31;17.7;0.051;33;173;0.999;3.09;0.64;10.2;5,0.924515707,360
6.9;0.23;0.4;7.5;0.04;50;151;0.9927;3.11;0.27;11.4;6,0.98884791,59
7.2;0.32;0.47;5.1;0.044;19;65;0.991;3.03;0.41;12.6;4,0.307614329,3403
5.9;0.23;0.3;12.9;0.054;57;170;0.9972;3.28;0.39;9.4;5,0.153888446,4141
6;0.67;0.07;1.2;0.06;9;108;0.9931;3.11;0.35;8.7;4,0.826293071,805
6.4;0.25;0.32;5.5;0.049;41;176;0.995;3.19;0.68;9.2;6,0.890417534,520
6.4;0.33;0.31;5.5;0.048;42;173;0.9951;3.19;0.66;9.3;6,0.168217975,4081
7.1;0.34;0.15;1.2;0.053;61;183;0.9936;3.09;0.43;9.2;5,0.997736738,16
6.8;0.28;0.4;22;0.048;48;167;1.001;2.93;0.5;8.7;5,0.912665685,407
6.9;0.27;0.4;14;0.05;64;227;0.9979;3.18;0.58;9.6;6,0.191578354,3962
6.8;0.26;0.56;11.9;0.043;64;226;0.997;3.02;0.63;9.3;5,0.050454194,4651
6.8;0.29;0.56;11.9;0.043;66;230;0.9972;3.02;0.63;9.3;5,0.384116845,3026
6.7;0.24;0.41;9.4;0.04;49;166;0.9954;3.12;0.61;9.9;6,0.358834477,3136
5.9;0.3;0.23;4.2;0.038;42;119;0.9924;3.15;0.5;11;5,0.549836962,2233
6.8;0.53;0.35;3.8;0.034;26;109;0.9906;3.26;0.57;12.7;8,0.032796371,4736
6.5;0.28;0.28;8.5;0.047;54;210;0.9962;3.09;0.54;8.9;4,0.999002349,10
6.6;0.28;0.28;8.5;0.052;55;211;0.9962;3.09;0.55;8.9;6,0.540922222,2266
6.8;0.28;0.4;22;0.048;48;167;1.001;2.93;0.5;8.7;5,0.18028105,4019
6.8;0.28;0.36;8;0.045;28;123;0.9928;3.02;0.37;11.4;6,0.737116221,1256
6.6;0.15;0.34;5.1;0.055;34;125;0.9942;3.36;0.42;9.6;5,0.009750727,4852
6.4;0.29;0.44;3.6;0.2;75;181;0.9942;3.02;0.41;9.1;5,0.758287621,1136
6.4;0.3;0.45;3.5;0.197;76;180;0.9942;3.02;0.39;9.1;6,0.404517437,2925
6.4;0.29;0.44;3.6;0.197;75;183;0.9942;3.01;0.38;9.1;5,0.046078791,4678
6.8;0.26;0.24;7.8;0.052;54;214;0.9961;3.13;0.47;8.9;5,0.511425607,2438
7.1;0.32;0.24;13.1;0.05;52;204;0.998;3.1;0.49;8.8;5,0.661671801,1640
6.8;0.26;0.24;7.8;0.052;54;214;0.9961;3.13;0.47;8.9;5,0.083874081,4473
6.8;0.27;0.26;16.1;0.049;55;196;0.9984;3.15;0.5;9.3;5,0.157136917,4122
7.1;0.32;0.24;13.1;0.05;52;204;0.998;3.1;0.49;8.8;5,0.734174076,1272
6.9;0.54;0.32;13.2;0.05;53;236;0.9973;3.2;0.5;9.6;5,0.81070182,898
6.8;0.26;0.34;13.9;0.034;39;134;0.9949;3.33;0.53;12;6,0.018478727,4809
5.8;0.28;0.35;2.3;0.053;36;114;0.9924;3.28;0.5;10.2;4,0.713982362,1388
6.4;0.21;0.5;11.6;0.042;45;153;0.9972;3.15;0.43;8.8;5,0.190346281,3971
7;0.16;0.32;8.3;0.045;38;126;0.9958;3.21;0.34;9.2;5,0.526665068,2345
10.2;0.44;0.88;6.2;0.049;20;124;0.9968;2.99;0.51;9.9;4,0.762695985,1110
6.8;0.57;0.29;2.2;0.04;15;77;0.9938;3.32;0.74;10.2;5,0.305408816,3414
6.1;0.4;0.31;0.9;0.048;23;170;0.993;3.22;0.77;9.5;6,0.454177452,2687
5.6;0.245;0.25;9.7;0.032;12;68;0.994;3.31;0.34;10.5;5,0.976296458,117
6.8;0.18;0.38;1.4;0.038;35;111;0.9918;3.32;0.59;11.2;7,0.105125258,4376
7;0.16;0.32;8.3;0.045;38;126;0.9958;3.21;0.34;9.2;5,0.893171671,501
6.7;0.13;0.29;5.3;0.051;31;122;0.9944;3.44;0.37;9.7;6,0.176684954,4041
6.2;0.25;0.25;1.4;0.03;35;105;0.9912;3.3;0.44;11.1;7,0.287174005,3498
5.8;0.26;0.24;9.2;0.044;55;152;0.9961;3.31;0.38;9.4;5,0.566878886,2140
7.5;0.27;0.36;7;0.036;45;164;0.9939;3.03;0.33;11;5,0.703806315,1437
5.8;0.26;0.24;9.2;0.044;55;152;0.9961;3.31;0.38;9.4;5,0.596736107,1984
5.7;0.28;0.24;17.5;0.044;60;167;0.9989;3.31;0.44;9.4;5,0.720897192,1349
7.5;0.23;0.36;7;0.036;43;161;0.9938;3.04;0.32;11;5,0.237702889,3737
7.5;0.27;0.36;7;0.036;45;164;0.9939;3.03;0.33;11;5,0.972976951,130
7.2;0.685;0.21;9.5;0.07;33;172;0.9971;3;0.55;9.1;6,0.569206804,2130
6.2;0.25;0.25;1.4;0.03;35;105;0.9912;3.3;0.44;11.1;7,0.891419465,513
6.5;0.19;0.3;0.8;0.043;33;144;0.9936;3.42;0.39;9.1;6,0.726103464,1315
6.3;0.495;0.22;1.8;0.046;31;140;0.9929;3.39;0.54;10.4;6,0.982262175,88
7.1;0.24;0.41;17.8;0.046;39;145;0.9998;3.32;0.39;8.7;5,0.929088173,328
6.4;0.17;0.32;2.4;0.048;41;200;0.9938;3.5;0.5;9.7;6,0.174488872,4051
7.1;0.25;0.32;10.3;0.041;66;272;0.9969;3.17;0.52;9.1;6,0.580579249,2061
6.4;0.17;0.32;2.4;0.048;41;200;0.9938;3.5;0.5;9.7;6,0.600409258,1961
7.1;0.24;0.41;17.8;0.046;39;145;0.9998;3.32;0.39;8.7;5,0.443467808,2734
6.8;0.64;0.08;9.7;0.062;26;142;0.9972;3.37;0.46;8.9;4,0.07694223,4498
8.3;0.28;0.4;7.8;0.041;38;194;0.9976;3.34;0.51;9.6;6,0.898176566,469
8.2;0.27;0.39;7.8;0.039;49;208;0.9976;3.31;0.51;9.5;6,0.763033411,1106
7.2;0.23;0.38;14.3;0.058;55;194;0.9979;3.09;0.44;9;6,0.22447029,3807
7.2;0.23;0.38;14.3;0.058;55;194;0.9979;3.09;0.44;9;6,0.240896825,3722
7.2;0.23;0.38;14.3;0.058;55;194;0.9979;3.09;0.44;9;6,0.518750257,2399
7.2;0.23;0.38;14.3;0.058;55;194;0.9979;3.09;0.44;9;6,0.773571226,1063
6.8;0.52;0.32;13.2;0.044;54;221;0.9972;3.27;0.5;9.6;6,0.207844151,3882
7;0.26;0.59;1.4;0.037;40;120;0.9918;3.34;0.41;11.1;7,0.120293285,4294
6.2;0.25;0.21;15.55;0.039;28;159;0.9982;3.48;0.64;9.6;6,0.036468206,4723
7.3;0.32;0.23;13.7;0.05;49;197;0.9985;3.2;0.46;8.7;5,0.135345466,4223
7.7;0.31;0.26;7.8;0.031;23;90;0.9944;3.13;0.5;10.4;5,0.162878876,4101
7.1;0.21;0.37;2.4;0.026;23;100;0.9903;3.15;0.38;11.4;7,0.740209158,1232
6.8;0.24;0.34;2.7;0.047;64.5;218.5;0.9934;3.3;0.58;9.7;6,0.844501085,719
6.9;0.4;0.56;11.2;0.043;40;142;0.9975;3.14;0.46;8.7;5,0.048064059,4664
6.1;0.18;0.36;2;0.038;20;249.5;0.9923;3.37;0.79;11.3;6,0.86893829,624
6.8;0.21;0.27;2.1;0.03;26;139;0.99;3.16;0.61;12.6;7,0.808296413,909
5.8;0.2;0.27;1.4;0.031;12;77;0.9905;3.25;0.36;10.9;7,0.90327471,446
5.6;0.19;0.26;1.4;0.03;12;76;0.9905;3.25;0.37;10.9;7,0.197201486,3930
6.1;0.41;0.14;10.4;0.037;18;119;0.996;3.38;0.45;10;5,0.199836236,3916
5.9;0.21;0.28;4.6;0.053;40;199;0.9964;3.72;0.7;10;4,0.093975899,4434
8.5;0.26;0.21;16.2;0.074;41;197;0.998;3.02;0.5;9.8;3,0.70574912,1422
6.9;0.4;0.56;11.2;0.043;40;142;0.9975;3.14;0.46;8.7;5,0.636808485,1772
5.8;0.24;0.44;3.5;0.029;5;109;0.9913;3.53;0.43;11.7;3,0.088123527,4460
5.8;0.24;0.39;1.5;0.054;37;158;0.9932;3.21;0.52;9.3;6,0.696094575,1482
6.7;0.26;0.39;1.1;0.04;45;147;0.9935;3.32;0.58;9.6;8,0.215545095,3849
6.3;0.35;0.3;5.7;0.035;8;97;0.9927;3.27;0.41;11;7,0.632042399,1802
6.3;0.35;0.3;5.7;0.035;8;97;0.9927;3.27;0.41;11;7,0.715246894,1380
6.4;0.23;0.39;1.8;0.032;23;118;0.9912;3.32;0.5;11.8;6,0.739922906,1238
5.8;0.36;0.38;0.9;0.037;3;75;0.9904;3.28;0.34;11.4;4,0.43102312,2795
6.9;0.115;0.35;5.4;0.048;36;108;0.9939;3.32;0.42;10.2;6,0.334730753,3263
6.9;0.29;0.4;19.45;0.043;36;156;0.9996;2.93;0.47;8.9;5,0.988210965,61
6.9;0.28;0.4;8.2;0.036;15;95;0.9944;3.17;0.33;10.2;5,0.451326968,2696
7.2;0.29;0.4;13.6;0.045;66;231;0.9977;3.08;0.59;9.6;6,0.112302292,4344
6.2;0.24;0.35;1.2;0.038;22;167;0.9912;3.1;0.48;10.6;6,0.478198884,2587
6.9;0.29;0.4;19.45;0.043;36;156;0.9996;2.93;0.47;8.9;5,0.064395925,4563
6.9;0.32;0.26;8.3;0.053;32;180;0.9965;3.25;0.51;9.2;6,0.342357627,3227
5.3;0.58;0.07;6.9;0.043;34;149;0.9944;3.34;0.57;9.7;5,0.075101434,4509
5.3;0.585;0.07;7.1;0.044;34;145;0.9945;3.34;0.57;9.7;6,0.422187591,2844
5.4;0.59;0.07;7;0.045;36;147;0.9944;3.34;0.57;9.7;6,0.796497267,961
